"IdCliente","Apellido","ScoringCrediticio","Pais","Genero","Edad","IdCuenta","BalanceCuenta","CantidadProductos","TarjetaCredito","Activo","SalarioEstimado","DejaBanco"
15643658,"Barber",850,"Alemania","Masculino",53,3656,94078.97,2,1,0,36980.54,0
15577018,"Tsao",684,"Alemania","Femenino",26,9614,114035.39,1,0,0,96885.19,0
15713949,"Woods",850,"Francia","Masculino",40,5761,76914.21,1,1,0,174183.44,0
15690456,"Yudina",749,"Alemania","Femenino",32,10600,79523.13,1,0,1,157648.12,0
15661036,"Davis",725,"Francia","Masculino",46,1739,0,2,1,0,161767.38,0
15794560,"Maclean",550,"Francia","Masculino",57,2429,0,1,1,1,133501.94,0
15731569,"Hudson",850,"Francia","Masculino",81,8957,0,2,1,1,44827.47,0
15629575,"Wheare",717,"Francia","Masculino",36,2924,148061.89,1,1,0,179128.69,1
15670615,"Castiglione",652,"España","Masculino",37,4280,0,2,1,0,68789.93,0
15599829,"Padovesi",577,"Francia","Femenino",35,3748,0,2,1,1,25161.61,0
15664339,"Yu",775,"España","Masculino",48,7185,178144.91,2,0,0,50168.41,1
15808389,"Iheatu",617,"Francia","Femenino",79,5833,0,1,1,1,160589.18,0
15650591,"Calabrese",809,"Alemania","Masculino",50,8663,118098.62,1,1,1,100720.02,1
15619029,"Bykov",620,"España","Femenino",43,2402,0,2,1,0,20670.1,0
15616454,"Davidson",476,"Alemania","Femenino",34,5296,111905.43,1,0,1,197221.81,1
15692750,"McGregor",629,"Alemania","Femenino",45,1872,129818.39,3,1,0,9217.55,1
15760851,"Gratton",629,"Francia","Masculino",31,7044,0,2,1,0,93881.75,0
15795690,"Shao",667,"Francia","Masculino",31,8284,99513.91,1,1,1,189657.26,0
15675650,"Duncan",486,"Francia","Femenino",39,8709,97819.36,1,0,1,120531.31,0
15706647,"Jordan",761,"Francia","Masculino",31,1570,0,3,1,1,166698.18,0
15753679,"Mullawirraburka",778,"Francia","Masculino",24,10161,0,2,1,1,162809.2,0
15720702,"Shih",789,"Francia","Masculino",37,2318,0,1,NA,0,121883.87,1
15646082,"Harding",676,"Francia","Femenino",34,8338,82909.14,1,1,0,91817.38,1
15654060,"P'eng",517,"Francia","Masculino",41,1783,0,2,0,1,75937.47,0
15740494,"Cameron",633,"Francia","Femenino",33,2259,0,2,1,0,191111.02,0
15681506,"Lane",478,"España","Masculino",43,3256,0,2,1,1,197916.43,0
15778830,"Dellucci",841,"Francia","Masculino",31,4260,0,2,1,0,173240.52,0
15669994,"Greece",556,"Alemania","Femenino",31,9355,128663.81,2,1,0,125083.29,0
15682995,"Azuka",600,"Francia","Femenino",32,6107,78535.25,1,1,0,64349.6,0
15801336,"Ch'ang",649,"Alemania","Femenino",37,4164,114737.26,1,1,1,106655.88,1
15757777,"Pai",636,"Francia","Femenino",35,5173,0,2,1,1,23129.46,0
15566156,"Franklin",749,"Alemania","Femenino",44,1982,71497.79,2,0,0,151083.8,0
15595447,"Tuan",613,"España","Masculino",39,7964,118201.41,1,1,0,23315.59,0
15584452,"Bozeman",667,"Francia","Masculino",41,10531,0,2,0,0,167181.77,0
15642579,"Chang",731,"España","Femenino",37,5290,128932.4,1,1,1,180712.52,0
15569945,"Horsley",509,"España","Masculino",29,6847,0,2,1,0,69113.14,0
15633930,"Yobachukwu",648,"España","Femenino",56,3236,157559.59,2,1,0,140991.23,1
15803908,"Fu",628,"Francia","Masculino",45,7073,0,2,1,1,NA,0
15641480,"Sinnett",571,"Francia","Masculino",32,3734,131354.25,1,1,0,125256.53,0
15767921,"Madukwe",613,"Francia","Masculino",41,4600,0,2,1,0,60297.72,0
15675963,"Padovano",627,"Francia","Femenino",57,8788,0,2,1,1,107712.42,0
15607312,"Ch'ang",648,"España","Femenino",49,1574,0,2,1,1,159835.78,1
15660147,"Dore",493,"España","Masculino",32,4424,46161.18,1,1,1,79577.4,0
15805637,"Hsing",625,"Francia","Masculino",36,2923,108546.16,3,1,0,133807.77,1
15667458,"L?",764,"Alemania","Masculino",28,3449,124023.18,1,1,0,166188.28,0
15621004,"Chukwuhaenye",603,"Francia","Masculino",32,9213,0,1,1,0,198055.94,1
15571193,"Morrison",579,"Alemania","Masculino",42,6963,144386.32,1,1,1,22497.1,1
15686835,"Crawford",738,"Alemania","Femenino",57,7319,148384.64,1,0,0,155047.11,1
15679611,"Andrews",734,"España","Femenino",37,2292,130404.92,1,0,0,34548.74,0
15682322,"Aksenov",714,"Francia","Masculino",37,6059,148466.93,2,0,1,151280.96,0
15711218,"Parry",616,"Alemania","Masculino",39,3982,121704.32,2,1,0,55556.3,0
15623277,"Ross",696,"Francia","Femenino",30,3231,0,2,1,1,196134.44,0
15692207,"Ingle",609,"Francia","Femenino",53,9456,0,2,1,1,124218.27,0
15785654,"Ofodile",727,"Alemania","Masculino",45,7861,114422.85,2,1,1,104678.78,1
15651802,"Day",632,"España","Femenino",39,2591,97854.37,2,1,0,93536.38,0
15612444,"Manfrin",549,"Francia","Masculino",29,7158,0,2,1,0,146090.38,0
15612071,"Wilson",763,"España","Femenino",32,3466,95153.77,1,0,1,81310.1,0
15815490,"Cocci",670,"Alemania","Masculino",40,3659,164948.98,3,0,0,177028,1
15600399,"Trentino",598,"Francia","Masculino",60,10221,0,1,1,0,197727.14,1
15584505,"Hill",580,"Francia","Femenino",23,5116,113923.81,2,0,0,196241.43,0
15775663,"Otitodilichukwu",712,"Alemania","Masculino",53,4343,134729.99,2,1,1,132702.64,0
15659194,"Mishina",628,"Francia","Masculino",30,6263,89182.09,1,1,1,13126.9,0
15748920,"Cherkasova",561,"Francia","Femenino",49,9606,0,2,1,1,12513.07,0
15746737,"Eames",565,"Alemania","Masculino",59,3975,69129.59,1,1,1,170705.53,0
15729110,"Lavrov",729,"España","Femenino",42,7634,0,2,1,0,58268.2,1
15789863,"Kazakova",683,"Francia","Masculino",39,4006,0,2,1,0,171716.81,0
15622289,"Rizzo",605,"España","Femenino",36,8700,0,2,0,1,35521.63,0
15585215,"Yuan",763,"Francia","Femenino",31,1324,0,2,0,0,50404.72,0
15748381,"Gorbunov",613,"Francia","Femenino",29,2993,185709.28,2,1,1,77242.19,0
15582276,"Greco",638,"Francia","Masculino",34,5315,133501.36,1,0,1,155643.04,0
15663134,"Uspenskaya",535,"España","Masculino",58,9402,0,2,1,1,11779.98,1
15653547,"Madukwe",850,"Francia","Masculino",56,1522,131317.48,1,1,1,119175.45,0
15791279,"Murray",701,"Francia","Masculino",40,2190,169742.64,1,1,1,153537.55,1
15648320,"Heller",658,"Francia","Femenino",31,4346,123974.96,1,1,0,102153.75,0
15688880,"Amechi",672,"Alemania","Masculino",40,2290,102980.44,1,1,0,1285.81,1
15761670,"Morley",695,"Francia","Femenino",50,4570,0,1,1,0,126381.6,1
15747591,"Chung",665,"España","Femenino",40,2263,173432.55,1,0,1,116766.79,0
15668575,"Hao",626,"España","Femenino",26,3901,148610.41,3,0,1,104502.02,1
15803801,"Jamieson",454,"Francia","Masculino",34,9800,0,2,1,0,198817.72,0
15722692,"Kazakova",464,"Francia","Masculino",38,7528,116439.65,1,1,0,75574.48,0
15790067,"Sun",614,"España","Masculino",39,6540,151914.93,1,0,0,56459.45,0
15673747,"Ayers",519,"Francia","Femenino",22,8395,0,1,0,1,167553.06,0
15751748,"Trevisani",666,"Francia","Masculino",51,5513,148222.65,1,0,0,156953.54,1
15786063,"Chin",776,"Francia","Femenino",NA,1526,0,2,1,1,112349.51,0
15635244,"Ritchie",716,"Francia","Femenino",29,8230,0,2,1,1,98998.61,0
15795990,"Lumholtz",722,"Alemania","Femenino",48,3111,138311.76,1,1,1,3472.63,1
15625047,"Yen",846,"Francia","Femenino",38,1025,0,1,1,1,187616.16,0
15581370,"Andreyeva",681,"España","Masculino",38,9165,99811.44,2,1,0,23531.5,0
15781987,"Akhtar",641,"Francia","Masculino",31,10372,112494.99,1,1,1,32231.6,0
15630725,"Johnson",649,"Francia","Femenino",45,2479,92786.66,1,1,0,173365.9,1
15790247,"Sims",536,"España","Masculino",40,7048,0,2,1,1,11959.03,0
15650670,"Bateson",567,"Alemania","Femenino",40,3560,105222.86,2,1,0,93795.86,0
15813192,"Chukwuemeka",494,"Francia","Masculino",25,8667,0,2,0,1,109988.09,0
15646756,"Murphy",682,"Francia","Femenino",33,6111,74963.5,1,1,1,32770.56,0
15567860,"Burrows",581,"España","Femenino",44,8283,189318.16,2,1,0,45026.23,1
15737173,"Andrews",497,"España","Masculino",24,1012,0,2,1,0,76390.01,0
15663817,"Y?an",713,"Francia","Masculino",46,6869,0,1,1,1,55701.62,0
15654292,"Vessels",565,"Alemania","Masculino",33,4345,130368.31,2,1,0,105642.43,0
15753874,"Kent",694,"Francia","Masculino",37,4136,143835.47,1,0,1,33326.71,0
15567335,"Allsop",559,"Francia","Femenino",42,5235,0,2,1,1,190040.29,0
15610557,"McCarthy",695,"España","Femenino",35,10586,79858.13,2,1,1,127977.66,0
15610643,"De Luca",435,"Alemania","Masculino",44,10072,151739.65,1,1,0,167461.5,0
15766017,"Brookman",615,"Alemania","Masculino",58,9302,72309.3,1,1,1,85687.09,1
15748616,"Napolitani",599,"Francia","Masculino",27,10453,0,2,1,0,30546.4,0
15622443,"Marshall",549,"Francia","Masculino",31,5479,0,2,0,1,25684.85,0
15644796,"Dyer",821,"España","Femenino",38,6128,0,2,0,1,126241.4,1
15748360,"Cocci",644,"Alemania","Femenino",34,7981,122196.99,2,1,1,182099.71,0
15722548,"Fisher",540,"Francia","Masculino",48,1711,148116.48,1,0,0,116973.48,0
15737605,"Morris",531,"España","Femenino",45,2985,126495.57,2,1,1,164741.5,0
15806926,"Watson",615,"Francia","Femenino",35,1992,97440.02,2,1,1,139816.1,0
15766458,"Tang",498,"Francia","Masculino",33,7205,198113.86,1,1,0,69664.35,0
15695356,"Chinwemma",722,"Francia","Masculino",46,4832,0,2,1,0,179908.71,0
15658852,"Stevens",676,"Francia","Masculino",38,5525,0,2,1,1,133692.88,0
15762392,"Ilyina",683,"España","Masculino",30,8601,113257.2,1,1,1,65035.02,0
15645323,"Chinwenma",630,"Francia","Masculino",55,10056,0,1,1,1,106202.07,1
15785920,"Black",687,"Alemania","Masculino",35,9667,125141.24,2,1,1,148537.07,0
15650313,"Okonkwo",632,"Alemania","Masculino",65,8157,129472.33,1,1,1,85179.48,0
15586135,"Gratwick",536,"España","Femenino",28,6113,0,1,1,1,136197.65,0
15774164,"Coles",502,"Alemania","Masculino",33,8798,174673.65,2,1,0,33300.56,0
15766869,"Uspenskaya",634,"Alemania","Masculino",37,3711,89696.84,2,1,1,193179.88,0
15709256,"Glover",850,"Francia","Femenino",28,10582,0,2,1,1,164864.67,0
15653222,"Otutodilichukwu",526,"Alemania","Femenino",32,4879,131938.92,2,1,1,1795.93,0
15633213,"Rizzo",628,"España","Masculino",50,7727,0,1,0,0,144366.83,1
15763218,"Akeroyd",661,"Francia","Femenino",41,1665,0,2,0,1,131300.68,0
15569626,"Miller",577,"España","Masculino",35,9246,110080.3,1,1,1,109794.31,0
15652180,"Egobudike",582,"Francia","Masculino",30,6289,0,2,1,1,132029.95,0
15688007,"Liu",703,"España","Masculino",20,2328,165260.98,1,1,1,41626.78,0
15704144,"Mazzanti",812,"Alemania","Masculino",33,6365,127154.14,2,0,1,105383.49,0
15715117,"Peel",744,"Francia","Femenino",39,7331,0,1,0,0,10662.58,0
15753462,"Godson",632,"Alemania","Masculino",30,9632,72549,2,0,1,182728.8,0
15623082,"Ch'ang",507,"Francia","Femenino",35,6429,0,2,1,0,97633.93,0
15700710,"Chiebuka",490,"Francia","Femenino",37,4505,116465.53,1,0,1,24435.77,0
15626042,"Webb",690,"España","Femenino",26,10380,0,2,1,1,93255.85,0
15707696,"Lu",471,"España","Femenino",28,9884,0,2,1,1,22356.97,0
15595426,"Madukwe",603,"España","Masculino",57,9004,105000.85,2,1,1,87412.24,1
15632256,"Schroeder",541,NA,"Masculino",29,2752,127504.57,1,0,0,86173.92,0
15770406,"Watson",580,"Alemania","Masculino",35,8526,121355.19,1,0,1,35671.45,0
15803121,"Chia",847,"Francia","Masculino",51,4565,97565.74,1,0,0,144184.06,1
15722053,"Oguejiofor",576,"España","Masculino",33,6852,0,2,0,1,190112.05,0
15728456,"Martinez",604,"Francia","Masculino",33,4486,0,1,1,0,42171.13,1
15785488,"Palmer",701,"España","Femenino",39,7977,0,2,1,1,110043.88,0
15793883,"Lo Duca",798,"Francia","Masculino",28,7875,0,2,1,0,2305.27,0
15607065,"Chinedum",765,"Francia","Masculino",34,6935,91835.16,1,0,0,138280.17,0
15594762,"Pisani",827,"España","Masculino",46,4214,183276.32,1,1,1,13460.27,0
15743153,"Singh",740,"Alemania","Femenino",40,7032,122295.17,2,1,1,30812.84,0
15602735,"Kuo",692,"Alemania","Masculino",45,3618,152296.83,4,0,1,108040.86,1
15692226,"Onwumelu",705,"Francia","Femenino",31,10440,142905.51,1,1,1,58134.97,0
15576745,"Fyodorov",769,"Francia","Masculino",48,5688,96542.16,2,0,1,197885.72,0
15761506,"Russell",615,"España","Masculino",19,5771,0,2,1,0,159920.92,0
15737732,"Onwuemelie",751,"Francia","Femenino",44,10414,0,2,1,0,170634.49,0
15800068,"Cooper",801,"España","Femenino",46,9538,0,2,1,1,170008.74,0
15776156,"Dolgorukova",521,"Francia","Masculino",27,8000,121325.84,1,1,1,164223.7,1
15807728,"Ferri",530,"Francia","Femenino",45,10728,0,1,0,1,190663.89,1
15593778,"Craig",779,"Francia","Femenino",29,10555,46388.16,3,1,0,127939.26,1
15789371,"Cattaneo",593,"Alemania","Femenino",41,7394,119703.1,2,1,1,109783.29,0
15682369,"Pisano",613,"Francia","Masculino",47,7240,146034.74,1,1,1,77146.14,0
15754796,"Byrne",487,"Alemania","Femenino",46,2398,135070.58,2,1,1,44244.49,1
15621457,"Chu",850,"Francia","Masculino",27,8858,96654.72,2,0,0,152740.16,0
15704681,"Yeh",766,"Alemania","Masculino",37,7950,99660.13,2,0,1,147700.78,0
15705309,"Yuriev",629,"España","Masculino",39,5523,0,2,0,0,116748.14,0
15654611,"Parry",736,NA,"Femenino",25,4940,81732.88,2,1,0,136497.28,0
15642655,"Savage",731,"España","Masculino",33,4545,0,1,1,0,130726.96,0
15613712,"Boag",634,"España","Masculino",34,3145,0,2,1,0,61995.57,0
15741275,"Yuan",623,"Francia","Femenino",57,5271,71481.79,2,1,1,84421.34,0
15678058,"Ayers",584,"Francia","Masculino",38,2199,104584.16,1,1,0,176678.72,0
15641091,"Onyemauchechukwu",695,"Francia","Femenino",31,10646,106089.2,1,0,0,99537.68,0
15674929,"Anderson",512,"Francia","Femenino",31,4870,0,2,0,0,49326.07,0
15575243,"Gorbunova",764,"Francia","Femenino",39,8115,129068.54,2,1,1,187905.12,0
15775891,"Myers",634,"Alemania","Masculino",48,3629,107247.69,1,1,1,103712.05,1
15803457,"Hao",750,"Francia","Femenino",32,1701,0,2,1,0,95611.47,0
15731781,"Onyemachukwu",551,"Francia","Masculino",43,7193,0,2,1,0,178393.68,0
15810485,"Sun",486,"Alemania","Masculino",37,8280,101438,1,0,0,51364.56,0
15694143,"Conti",686,"Francia","Femenino",41,7521,0,1,1,0,133086.45,0
15678725,"Chamberlin",658,"Francia","Femenino",29,6535,0,2,0,1,130461.09,0
15580629,"Blackwood",604,"Francia","Masculino",31,4552,134837.58,1,1,0,192029.19,0
15607526,"Lu",638,"Alemania","Masculino",50,7554,102645.48,1,1,0,168359.98,1
15776467,"De Salis",702,"España","Femenino",35,2792,14262.8,2,1,0,54689.16,0
15747174,"Hao",526,"Alemania","Masculino",NA,3172,190298.89,2,1,1,191263.76,0
15601892,"Hunter",563,"Francia","Masculino",33,3588,0,2,0,1,68815.05,0
15699830,"Doherty",721,"Francia","Femenino",40,6323,0,2,1,1,122580.48,0
15765283,"Wenz",624,"Alemania","Femenino",40,9278,149961.99,2,1,0,104610.86,0
15666856,"Chikwendu",774,"Francia","Masculino",49,6085,142767.39,1,1,1,8214.41,0
15693752,"Reed",487,"Francia","Masculino",37,7781,0,2,1,1,126722.57,0
15773146,"Rubeo",652,"Francia","Masculino",26,9813,137998.2,2,0,1,168989.77,0
15771636,"Marshall",793,"España","Femenino",36,2782,0,1,0,0,148993.47,0
15580684,"Feng",706,"Francia","Femenino",29,1642,112564.62,1,1,0,42334.38,0
15711521,"Egobudike",609,"Francia","Masculino",39,10064,121778.71,1,1,1,138399.67,0
15662337,"Baldwin",744,"Alemania","Femenino",50,10639,121498.11,2,0,1,106061.47,1
15584785,"Ogochukwu",660,"Francia","Masculino",37,9501,97324.91,1,1,0,23291.83,0
15628203,"Pai",637,"Francia","Femenino",38,3708,104339.56,1,0,0,119882.86,0
15769586,"Horan",820,"Francia","Femenino",49,4469,0,2,1,1,119087.25,0
15742369,"Rita",667,"España","Masculino",31,8707,0,2,1,1,20346.69,0
15621435,"Davies",623,"Francia","Femenino",39,5150,160903.2,1,0,0,78774.36,0
15756241,"Yirawala",767,"Francia","Femenino",44,3661,152509.25,1,1,1,136915.15,0
15566740,"Nazarova",587,"España","Masculino",51,6542,83739.32,1,0,1,148798.45,0
15754084,"Palazzi",710,"España","Masculino",35,1941,106518.52,1,1,1,127951.81,0
15656822,"Day",568,"Alemania","Masculino",43,7173,87612.64,4,1,1,107155.4,1
15710404,"Chinwendu",569,"Francia","Masculino",35,1915,124525.52,1,1,1,193793.78,0
15681990,"Palmerston",497,"Alemania","Masculino",24,5691,111769.14,2,1,0,55859.27,0
15654106,"K?",604,"Francia","Masculino",26,3529,149542.52,2,0,1,197911.52,0
15673877,"Murray",490,"Francia","Masculino",39,7891,0,3,1,0,171060.01,1
15708917,"Martin",598,"Alemania","Masculino",53,1809,167772.96,1,1,1,136886.86,0
15695078,"Kemp",699,"Francia","Masculino",32,6930,0,2,1,1,170770.44,0
15813422,"Lu",781,"España","Masculino",35,4462,80790.74,1,1,0,116429.51,0
15695280,"Hung",532,"Alemania","Masculino",NA,8813,142755.25,1,0,0,34231.48,0
15802560,"Moran",470,"España","Femenino",48,10059,140576.11,1,1,1,116971.05,0
15633729,"Wang",488,"Francia","Masculino",43,6730,112751.13,1,1,1,28332,0
15569503,"Yeh",765,"Francia","Masculino",44,3065,0,2,1,1,159899.97,0
15730345,"Miah",617,"Francia","Femenino",35,6712,104508.1,1,1,1,147636.46,0
15639077,"Marchesi",622,"Francia","Femenino",30,3238,158584.82,3,1,0,142342.55,1
15632859,"Chukwudi",444,"Francia","Masculino",36,4793,0,2,0,1,138743.86,0
15773973,"Hill",765,"Francia","Masculino",41,9805,0,2,0,1,191215.61,0
15628319,"Walker",792,"Francia","Femenino",28,11000,130142.79,1,1,0,38190.78,0
15773972,"Balashov",614,"Francia","Masculino",50,1309,137104.47,1,1,0,127166.49,1
15754952,"Su",602,"Alemania","Femenino",48,4362,76595.08,2,0,0,127095.14,0
15773338,"Endrizzi",739,"Francia","Masculino",58,10910,101579.28,NA,1,1,72168.53,0
15769829,"Cheng",534,"España","Masculino",51,3858,0,2,0,1,20856.31,0
15677336,"Aitken",557,"Alemania","Masculino",57,9364,120043.13,1,1,0,132370.75,1
15746515,"Greece",750,"Francia","Masculino",36,9254,136492.92,3,1,1,26500.29,1
15775339,"Lori",520,"Francia","Femenino",29,6616,95947.76,1,1,0,4696.44,0
15707199,"Cooper",643,"Francia","Masculino",36,4597,148159.71,1,0,0,55835.66,0
15650098,"Baranova",630,"Francia","Femenino",40,2205,0,2,1,1,34453.17,0
15725311,"Hay",726,"Francia","Femenino",31,1221,114722.05,2,1,1,98178.57,0
15675949,"Fleming",696,"España","Femenino",43,4002,0,2,1,1,66406.37,0
15689096,"Beneventi",590,"Francia","Masculino",47,7322,117879.32,1,1,1,8214.46,0
15750156,"Yu",662,"Alemania","Masculino",59,4899,104568.41,1,1,0,8059.44,1
15588341,"Chigozie",647,"España","Masculino",47,8978,99835.17,1,0,1,89103.05,0
15652981,"Robinson",600,"Alemania","Masculino",30,10799,119755,1,1,1,21852.91,0
15711396,"Henderson",427,"España","Masculino",40,10084,0,2,1,1,82870.75,0
15779423,"K?",716,"Francia","Masculino",39,10858,70657.61,2,1,1,76476.05,0
15572706,"Smith",589,"Francia","Masculino",37,8919,0,1,1,0,61324.87,0
15673539,"Napolitani",690,"Francia","Femenino",26,4195,118097.87,1,1,0,61257.83,0
15643824,"Johnston",637,"Francia","Masculino",33,2730,132255.99,2,0,1,74588.41,0
15658306,"Lo",693,"Francia","Masculino",68,2253,97705.99,1,1,1,61569.07,0
15722533,"Logue",716,"Francia","Femenino",40,6946,0,2,0,1,167636.15,0
15781586,"Osonduagwuike",837,"Alemania","Masculino",38,2268,126732.85,1,1,1,79577.38,0
15625545,"Hussey",712,"España","Masculino",52,5128,0,1,1,1,117977.45,1
15727177,"Manfrin",557,"Francia","Masculino",42,9221,177822.03,1,1,0,150944.31,1
15718289,"Bradley",553,"Alemania","Masculino",46,4820,82291.1,1,1,0,112549.99,1
15733444,"Phillips",736,"Francia","Femenino",29,10606,0,2,0,0,176152.7,0
15704844,"Hsiung",550,"España","Masculino",62,3600,80927.56,1,0,1,64490.67,0
15701281,"Tan",511,"Francia","Masculino",27,5708,0,2,1,1,49089.36,0
15730488,"Richmond",516,"España","Femenino",27,10080,0,1,0,1,112311.15,0
15583725,"Mairinger",682,"Francia","Masculino",48,1638,138778.15,1,0,1,168840.23,0
15567919,"Lazarev",586,"Alemania","Masculino",37,8573,167735.69,2,0,1,104665.79,0
15664543,"Shaw",699,"Francia","Masculino",40,3296,0,1,0,1,152876.13,1
15591123,"Iredale",557,"Alemania","Masculino",68,3761,100194.44,1,1,1,38596.34,0
15651140,"Doherty",710,"Francia","Femenino",32,3488,0,1,1,0,94790.34,0
15676513,"Burns",601,"Alemania","Masculino",35,4305,71553.83,1,1,0,177384.45,0
15724296,"Kerr",684,"España","Masculino",41,1769,119782.72,2,0,0,120284.67,0
15652266,"Chidiebele",703,"Alemania","Masculino",42,1291,63227,1,0,1,137316.32,0
15589030,"Ts'ai",649,"Francia","Masculino",47,1629,0,2,1,1,145593.85,0
15601172,"Nelson",672,"Francia","Masculino",31,5813,91125.75,1,1,0,177295.92,0
15717065,"Balashov",686,"Francia","Femenino",35,8470,105419.73,1,1,0,35356.46,0
15585888,"Nwokezuike",553,"España","Femenino",48,1839,0,1,0,1,30730.95,1
15634143,"Onyemauchechi",581,"España","Masculino",30,5074,53291.86,1,0,0,196582.28,0
15762793,"Jones",850,"Alemania","Femenino",36,7871,136980.23,2,1,1,99019.65,0
15670755,"Shaw",650,"Francia","Masculino",60,1745,0,2,1,1,102925.76,0
15672598,"Walker",613,"España","Masculino",30,3204,111927.45,1,1,1,175795.87,0
15793688,"Bancks",669,"Francia","Masculino",50,7498,201009.64,1,1,0,158032.5,1
15656096,"Cumbrae-Stewart",679,"España","Femenino",26,4470,76554.06,1,1,1,184800.27,0
15773779,"Jacka",593,"España","Femenino",46,5566,76597.79,1,1,1,54453.72,0
15684316,"Udokamma",532,"Francia","Masculino",43,9658,0,2,0,0,190573.91,1
15589660,"Lamble",661,"Alemania","Femenino",32,2533,145980.23,1,0,1,56636.28,0
15708710,"Ford",525,"España","Femenino",37,1188,0,1,0,1,131521.72,0
15667321,"Cocci",644,"España","Masculino",49,10254,0,2,1,1,145089.64,0
15792986,"T'ao",580,"Alemania","Masculino",24,5937,133811.78,1,1,0,17185.95,1
15804822,"L?",805,"Francia","Femenino",31,5354,0,2,1,0,4798.12,0
15579891,"Milani",714,"Francia","Masculino",52,7022,100755.66,1,1,1,186775.25,0
15730418,"Lucchesi",652,"Francia","Femenino",32,7359,0,2,1,0,54628.11,0
15663478,"Baldwin",729,"Francia","Masculino",32,1533,93694.42,1,1,1,79919.13,0
15724154,"Manna",625,"Alemania","Femenino",49,6702,128504.76,1,1,0,126812.63,1
15574795,"Lombardo",495,"Francia","Femenino",38,6884,63093.01,1,1,1,47089.72,0
15741195,"Okechukwu",613,"España","Masculino",19,6290,0,1,1,1,176903.35,0
15579334,"Watkins",769,"Alemania","Femenino",45,1688,126674.81,1,1,0,124118.71,1
15606177,"Crawford",672,"Francia","Masculino",39,6302,0,2,1,0,87372.49,0
15606613,"Samson",655,"Francia","Femenino",59,3028,0,1,1,0,88958.49,1
15639277,"Lin",678,"Francia","Femenino",41,3944,0,1,0,0,13160.03,0
15648489,"Ting",487,"Francia","Masculino",53,3854,199689.49,1,1,1,24207.86,1
15762927,"Sung",674,"Alemania","Femenino",36,5927,100762.64,1,1,0,182156.86,0
15815271,"Ritchie",755,"Alemania","Masculino",43,8054,165048.5,3,1,0,16929.41,1
15646490,"Duffy",537,"España","Masculino",42,5686,190569.23,1,0,1,127154.8,0
15723064,"Kistler",603,"España","Masculino",24,9778,165149.13,2,1,0,21858.28,0
15711254,"Retana",452,"Francia","Femenino",35,5988,0,2,1,0,164241.67,0
15728912,"Swanson",554,"Francia","Femenino",44,5994,NA,1,1,0,126033.9,0
15593331,"Sidorov",693,"Alemania","Masculino",25,2244,146580.69,1,0,1,14633.35,0
15815259,"Fang",835,"Francia","Femenino",56,10466,0,2,1,1,39820.13,0
15754342,"Green",597,"Alemania","Femenino",60,4957,78539.84,1,0,1,48502.88,0
15704250,"Akabueze",506,"Francia","Masculino",34,2696,0,2,0,0,115842.1,0
15769917,"Onyekachi",673,"Alemania","Femenino",34,3211,127122.79,3,0,1,76703.1,0
15566531,"Iloerika",724,"Alemania","Masculino",33,10678,88046.88,1,0,1,186942.49,1
15578375,"Farrell",628,"Francia","Masculino",39,6519,0,2,0,0,134441.6,0
